District,Year,S.No,Size Group(HA),Total No. of Operational Holdings,Estimated No. of Holdings that took insititutional credit,No. of OH that took credit from PACS,No.of OH that took credit from PLDB/SLDB,No.of OH that took credit from CBB,No. of OH that took credit from RRBB,Amount of Credit through Short-Term Loans,Amount of credit through medium-term loans,Amount of credit through long-term loans,Amount of ST-Loans from PLDB/SLDB,Amount of MT-Loans from PLDB/SLDB,Amount of LT-Loans from PLDB/SLDB,Amount of ST-Loans from PAC/CBB,Amount of MT-Loans from PAC/CBB,Amount of LT-Loans from PAC/CBB,Amount of ST-Loans from RRBB,Amount of MT-Loans from RRBB,Amount of LT-Loans from RRBB,Total Amount of ST-Loans,Total Amount of MT-Loans,Total Amount of LT-Loans,Total_Loan_(ST+MT+LT),"In the ST-Loan, Value of the quanitity of fertiliser given","In ST-Loan, Value of quantity of other inputs","In ST-Loan, amoutn given in cash","In ST-Loan, Total",Total
north & middle andamans,2011,1,MARGINAL (BELOW 1.0),2033,1072,197,0,875,0,3953055,0,0,0,0,0,6211944,14278182,11176671,0,0,0,10164999,14278182,11176671,35619852,0,0,10164999,10164999,28
north & middle andamans,2011,2,SMALL (1.0 - 1.99),1050,384,119,0,265,0,2392405,0,0,0,0,0,2106645,3498573,3149268,0,0,0,4499050,3498573,3149268,11146891,0,0,4499050,4499050,13
north & middle andamans,2011,3,SEMI-MEDIUM (2.0 - 3.99),1742,181,18,0,163,0,362916,0,0,0,0,0,0,2995804,4199272,0,0,0,362916,2995804,4199272,7557992,181458,90729,90729,362916,18
north & middle andamans,2011,4,MEDIUM (4.0 - 9.99),1186,124,0,0,107,17,0,0,0,0,0,0,0,2302816,2929581,898484,0,0,898484,2302816,2929581,6130881,0,0,898484,898484,17
north & middle andamans,2011,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
north & middle andaman,2016,1,MARGINAL (BELOW 1.0),2264,744,744,0,744,0,13124704,0,0,0,0,0,13124704,0,0,0,0,0,26249408,0,0,26249408,0,0,26249408,26249408,226
north & middle andaman,2016,2,SMALL (1.0 - 1.99),1240,691,612,0,691,0,10545643,0,0,0,0,0,13249654,0,0,0,0,0,23795297,0,0,23795297,0,0,23795297,23795297,284
north & middle andaman,2016,3,SEMI-MEDIUM (2.0 - 3.99),1625,438,365,0,438,0,6357036,0,0,0,0,0,8899851,0,0,0,0,0,15256887,0,0,15256887,0,0,15256887,15256887,564
north & middle andaman,2016,4,MEDIUM (4.0 - 9.99),971,420,319,0,420,0,5465483,0,0,0,0,0,8943518,0,0,0,0,0,14409001,0,0,14409001,0,0,14409001,14409001,241
north & middle andaman,2016,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
north & middle andamans,2006,1,MARGINAL (BELOW 1.0),1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
north & middle andamans,2006,2,SMALL (1.0 - 1.99),792,375,156,0,239,0,2516684,0,0,0,0,0,3334736,1203631,802421,0,0,0,5851420,1203631,802421,7857472,0,0,5851420,5851420,10
north & middle andamans,2006,3,SEMI-MEDIUM (2.0 - 3.99),1731,499,134,0,365,0,2154133,0,0,0,0,0,3962066,6923999,3850513,0,0,0,6116199,6923999,3850513,16890711,0,0,6116199,6116199,19
north & middle andamans,2006,4,MEDIUM (4.0 - 9.99),1254,127,21,0,106,0,354945,0,0,0,0,0,425084,5719515,4250847,0,0,0,780029,5719515,4250847,10750391,0,0,780029,780029,21
north & middle andamans,2006,5,LARGE (10 AND ABOVE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
south andaman,2016,1,MARGINAL (BELOW 1.0),2607,890,731,0,890,0,12629499,0,0,0,0,0,18120586,0,0,0,0,0,30750085,0,0,30750085,0,0,30750086,30750086,351
south andaman,2016,2,SMALL (1.0 - 1.99),1203,692,662,0,692,0,11524550,0,0,0,0,0,12572237,0,0,0,0,0,24096787,0,0,24096787,0,0,24096787,24096787,255
south andaman,2016,3,SEMI-MEDIUM (2.0 - 3.99),1119,396,354,0,396,0,6045966,0,0,0,0,0,7496998,0,0,0,0,0,13542964,0,0,13542964,0,0,13542964,13542964,437
south andaman,2016,4,MEDIUM (4.0 - 9.99),162,108,108,0,108,0,1935468,0,0,0,0,0,1935468,0,0,0,0,0,3870936,0,0,3870936,0,0,3870936,3870936,108
south andaman,2016,5,LARGE (10 AND ABOVE),2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adilabad,2011,1,MARGINAL (BELOW 1.0),259151,110441,25490,2655,54166,31862,671243573,0,0,0,50449477,0,1086522430,5310471,0,578310325,0,0,2336076328,55759948,0,2391836276,346508253,266320136,1723247939,2336076328,1593
adilabad,2011,2,SMALL (1.0 - 1.99),143928,82396,18619,1182,39602,25711,727176270,0,0,0,33100484,17732402,1209054307,12412681,0,911445486,0,0,2847676063,45513165,17732402,2910921630,362036550,337506726,2148132787,2847676063,295
adilabad,2011,3,SEMI-MEDIUM (2.0 - 3.99),90756,51445,9873,759,24492,18037,672885489,0,0,0,55061171,0,1165967773,0,0,871447465,3797322,0,2710300727,58858493,0,2769159220,317835865,280052510,2112412352,2710300727,568
adilabad,2011,4,MEDIUM (4.0 - 9.99),23982,14618,3288,113,6690,5045,315961432,0,0,0,13039858,0,411719347,0,5386028,372032822,0,0,1099713601,13039858,5386028,1118139487,127847304,134934184,836932113,1099713601,283
adilabad,2011,5,LARGE (10 AND ABOVE),2120,1226,235,0,777,400,29915555,0,0,0,0,0,56415555,0,0,37099999,1413333,0,123431109,1413333,0,124844442,17666666,13073333,92691110,123431109,46
ananthapur,2011,1,MARGINAL (BELOW 1.0),258796,225912,35538,0,29160,167670,337163802,0,0,0,0,0,325226381,0,0,2258086225,123019225,59231478,2920476408,123019225,59231478,3102727111,0,0,2920476408,2920476408,23691
ananthapur,2011,2,SMALL (1.0 - 1.99),243448,230517,25716,857,37717,174871,624049802,0,0,0,30859605,0,787262828,77149014,14572591,4947051946,261451151,0,6358364576,369459770,14572591,6742396937,0,0,6358364576,6358364576,16286
ananthapur,2011,3,SEMI-MEDIUM (2.0 - 3.99),175061,167001,21574,616,29587,120816,752022605,0,0,0,0,123282394,1125629901,90365995,0,5349654579,355053295,15410299,7227307085,445419290,138692693,7811419068,0,30820598,7196486487,7227307085,17874
ananthapur,2011,4,MEDIUM (4.0 - 9.99),45623,44111,5908,0,7877,32494,318868665,0,0,0,0,0,437783865,55666624,16411151,2373216556,178881546,180522661,3129869086,234548170,196933812,3561351068,0,7385017,3122484069,3129869086,10173
ananthapur,2011,5,LARGE (10 AND ABOVE),4309,4016,448,0,758,3412,41194040,0,0,0,0,0,42055840,10410544,3895336,425315536,37057400,17236000,508565416,47467944,21131336,577164696,0,0,508565416,508565416,997
chittoor,2011,1,MARGINAL (BELOW 1.0),455188,111677,65327,4214,16858,29502,1472512106,0,0,0,136977870,0,194930046,242345462,0,795525324,391967444,21073518,2462967476,771290776,21073518,3255331770,14751462,13170949,2435045065,2462967476,1053
chittoor,2011,2,SMALL (1.0 - 1.99),144426,63620,29625,1346,11109,22556,1151368111,0,0,0,65648181,0,191221370,404864120,19189468,525858769,400285580,74064615,1868448250,870797881,93254083,2832500214,21882727,14476265,1832089258,1868448250,3702
chittoor,2011,3,SEMI-MEDIUM (2.0 - 3.99),54976,28924,13811,804,5095,10190,803588214,0,0,0,81793560,0,107806595,182158282,0,285741112,207567921,109281560,1197135921,471519763,109281560,1777937244,8715707,4693073,1183727141,1197135921,2010
chittoor,2011,4,MEDIUM (4.0 - 9.99),11505,6338,3078,121,1134,2349,244805334,0,0,0,12963380,0,27344630,47802464,16204225,58821337,121045563,16204225,330971301,181811407,32408450,545191158,6279137,2633186,322058978,330971301,769
chittoor,2011,5,LARGE (10 AND ABOVE),1042,412,161,29,102,176,10302591,0,0,0,1174084,0,9172535,3595633,0,1834507,10383309,6457464,21309633,15153026,6457464,42920123,0,0,21309633,21309633,86
east godavari,2011,1,MARGINAL (BELOW 1.0),562114,160586,90163,1408,7044,64805,1699021263,0,0,0,14088070,0,77484385,0,0,1035036427,42264210,774843859,2811542075,56352280,774843859,3642738214,152573799,110168708,2548799568,2811542075,90163
east godavari,2011,2,SMALL (1.0 - 1.99),86548,46261,22708,1285,3856,21636,1013618469,0,0,0,55699207,0,104971584,27849603,0,716538175,71766287,175666732,1835128228,155315097,175666732,2166110057,91796579,53878272,1689453377,1835128228,14781
east godavari,2011,3,SEMI-MEDIUM (2.0 - 3.99),36988,21334,9624,471,943,12266,582362849,0,0,0,14719714,4765035,32553214,4717857,0,514529499,23589285,239667142,1129445562,43026856,244432177,1416904595,73740107,35478285,1020227170,1129445562,5849
east godavari,2011,4,MEDIUM (4.0 - 9.99),11294,7176,2621,121,443,4759,171749471,0,0,0,5445321,0,19361142,5041964,3226857,264521613,14063046,167554556,455632226,24550331,170781413,650963970,22729174,12544407,420358645,455632226,2218
east godavari,2011,5,LARGE (10 AND ABOVE),934,635,261,56,56,298,21631440,0,0,0,1120800,0,1868000,934000,0,11450840,1682134,934000,34950280,3736934,934000,39621214,1120800,0,33829480,34950280,93
guntur,2011,1,MARGINAL (BELOW 1.0),536431,323686,53180,9248,16185,249717,1687907887,0,0,0,161854181,0,658977737,0,0,8195602066,319083956,138732155,10542487690,480938137,138732155,11162157982,857827159,6936607,9677723924,10542487690,85550
guntur,2011,2,SMALL (1.0 - 1.99),150703,121941,21528,2609,5219,94597,1467886363,0,0,0,104383030,0,548010909,0,0,5686917968,337940060,0,7702815240,442323090,0,8145138330,48277151,38491242,7616046847,7702815240,49581
guntur,2011,3,SEMI-MEDIUM (2.0 - 3.99),58157,45199,7105,0,2105,36315,624200922,0,0,0,0,0,271048461,0,0,3165214460,178681461,0,4060463843,178681461,0,4239145304,38157307,4210461,4018096075,4060463843,15525
guntur,2011,4,MEDIUM (4.0 - 9.99),14150,11779,1901,0,532,10270,293954838,0,0,0,0,0,99658602,0,0,1290693010,128947580,0,1684306450,128947580,0,1813254030,1977956,5249193,1677079301,1684306450,4715
guntur,2011,5,LARGE (10 AND ABOVE),448,243,55,0,37,223,4591999,0,0,0,0,0,9706666,0,0,43306666,3733333,0,57605331,3733333,0,61338664,0,0,57605331,57605331,0
kadapa,2011,1,MARGINAL (BELOW 1.0),241718,130090,13428,0,42804,73858,256825374,0,0,0,0,0,756208048,0,0,1387696323,0,0,2400729745,0,0,2400729745,0,0,2400729745,2400729745,31892
kadapa,2011,2,SMALL (1.0 - 1.99),123469,84400,10717,428,29581,44586,465581020,0,0,0,21435590,0,941279640,0,0,1508208131,0,0,2915068791,21435590,0,2936504381,0,0,2915068791,2915068791,17147
kadapa,2011,3,SEMI-MEDIUM (2.0 - 3.99),62287,43033,4791,0,14591,24827,282251580,0,0,0,0,0,724402165,0,0,1345377420,0,5226881,2352031165,0,5226881,2357258046,0,0,2352031165,2352031165,8928
kadapa,2011,4,MEDIUM (4.0 - 9.99),12947,9884,1269,63,3490,5394,92469504,0,0,0,22212990,0,227270622,0,0,453525793,12693137,0,773265919,34906127,0,808172046,0,0,773265919,773265919,1712
kadapa,2011,5,LARGE (10 AND ABOVE),867,497,74,24,272,173,4384542,0,0,0,2353285,0,35497457,0,0,22294285,0,0,62176284,2353285,0,64529569,0,0,62176284,62176284,197
karimnagar,2011,1,MARGINAL (BELOW 1.0),447034,214825,87400,12895,8596,114624,1951045505,0,0,0,251026784,169070551,149011333,0,0,2480179019,120355307,0,4580235857,371382091,169070551,5120688499,587448525,279396249,3713391083,4580235857,114622
